time,frequency,confidence
2.124,316.087,0.953909
2.128,316.257,0.955835
2.132,316.212,0.955195
2.136,316.169,0.954481
2.140,316.285,0.950981
2.144,316.398,0.953949
2.148,316.464,0.950811
2.152,316.304,0.952068
2.156,316.270,0.953058
2.160,316.422,0.952815
2.164,316.490,0.949639
2.168,316.488,0.948901
2.172,316.308,0.953288
2.176,316.464,0.951279
2.180,316.522,0.949542
2.184,316.420,0.949836
2.188,316.390,0.953181
2.192,316.323,0.953599
2.196,316.232,0.953553
2.200,316.223,0.951124
2.204,316.345,0.954949
2.208,316.234,0.954151
2.212,316.072,0.955867
2.216,316.074,0.955623
2.220,316.166,0.956644
2.224,316.266,0.953854
2.228,316.057,0.955540
2.232,315.814,0.959274
2.236,315.950,0.958970
2.240,315.997,0.957236
2.244,315.975,0.957387
2.248,315.783,0.960724
2.252,315.773,0.960202
2.256,315.711,0.959606
2.260,315.632,0.958263
2.264,315.683,0.961876
2.268,315.573,0.960415
2.272,315.434,0.960895
2.276,315.442,0.959946
2.280,315.556,0.964152
2.284,315.496,0.961568
2.288,315.351,0.960564
2.292,315.229,0.961624
2.296,315.348,0.963768
2.300,315.385,0.962160
2.304,315.245,0.961763
2.308,315.111,0.961675
2.312,315.168,0.963003
2.316,315.341,0.963273
2.320,315.243,0.961891
2.324,315.251,0.963995
2.328,315.279,0.962699
2.332,315.254,0.962630
2.336,315.155,0.960681
2.340,315.283,0.964421
2.344,315.281,0.962291
2.348,315.170,0.962505
2.352,315.220,0.960539
2.356,315.304,0.964060
2.360,315.227,0.961325
2.364,315.179,0.961216
2.368,315.163,0.960184
2.372,315.327,0.963420
2.376,315.336,0.961583
2.380,315.302,0.960967
2.384,315.225,0.961727
2.388,315.347,0.962421
2.392,315.503,0.961496
2.396,315.482,0.959977
2.400,315.441,0.961620
2.404,315.508,0.961182
2.408,315.583,0.961015
2.412,315.485,0.959446
2.416,315.629,0.962034
2.420,315.617,0.960205
2.424,315.549,0.960746
2.428,315.520,0.958563
2.432,315.643,0.961858
2.436,315.612,0.959260
2.440,315.556,0.959651
2.444,315.579,0.958867
2.448,315.694,0.961766
2.452,315.704,0.960049
2.456,315.619,0.958806
2.460,315.551,0.960094
2.464,315.659,0.962026
2.468,315.737,0.960228
2.472,315.695,0.959352
2.476,315.586,0.961174
